Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,Points,Points_w
27,58,-31,8471675,"Sidney Crosby",C,51,13.318
40,59,-19,8474053,"Logan Couture",C,46,13.252
60,60,0,8471309,"Johan Franzen",R,43,13.224
93,61,32,8475169,"Evander Kane",L,36,13.208
47,62,-15,8467514,"Pavel Datsyuk",C,45,13.178
54,63,-9,8462038,"Shane Doan",R,44,13.074
94,64,30,8470834,"Dustin Byfuglien",R,36,13.047
61,65,-4,8473563,"Nicklas Backstrom",C,43,12.927
68,66,2,8470596,"Nathan Horton",R,40,12.883
33,67,-34,8474141,"Patrick Kane",R,49,12.853
138,68,70,8458590,"Mike Knuble",R,31,12.737
81,69,12,8469506,"Jason Pominville",R,38,12.694
139,70,69,8473412,"Bryan Little",C,31,12.672
30,71,-41,8468482,"Dany Heatley",L,50,12.624
77,72,5,8469638,"Jussi Jokinen",L,39,12.485
78,73,5,8469462,"Tuomo Ruutu",L,39,12.175
103,74,29,8470603,"Andrei Kostitsyn",L,35,12.132
48,75,-27,8469455,"Jason Spezza",C,45,12.116
64,76,-12,8467463,"Mikael Samuelsson",R,41,12.116
95,77,18,8474551,"Ville Leino",L,36,11.966
87,78,9,8471339,"Ryan Callahan",R,37,11.94
35,79,-44,8470617,"Mike Richards",C,48,11.939
118,80,38,8471266,"David Booth",L,33,11.92
96,81,15,8470852,"Matt Moulson",L,36,11.892
65,82,-17,8473534,"Patrik Berglund",C,41,11.867
119,83,36,8457063,"Nicklas Lidstrom",D,33,11.811
79,84,-5,8473579,"Nikolay Kulemin",L,39,11.804
125,85,40,8469500,"Mike Cammalleri",L,32,11.797
149,86,63,8458943,"Cory Stillman",L,30,11.779
69,87,-18,8466149,"Daniel Cleary",R,40,11.772
82,88,-6,8469459,"Mikko Koivu",C,38,11.747
111,89,22,8466140,"Olli Jokinen",C,34,11.704
83,90,-7,8468486,"Scott Hartnell",L,38,11.626
66,91,-25,8471273,"Brandon Dubinsky",C,41,11.619
88,92,-4,8471851,"Matt D'Agostini",R,37,11.555
97,93,4,8470543,"Chris Kunitz",L,36,11.481
89,94,-5,8469707,"Pierre-Alexandre Parenteau",R,37,11.322
104,95,9,8469466,"Ales Hemsky",R,35,11.312
163,96,67,8470105,"Scottie Upshall",L,28,11.31
175,97,78,8459429,"Jason Arnott",C,27,11.307
49,98,-49,8470638,"Patrice Bergeron",C,45,11.288
98,99,-1,8470257,"Alexander Steen",L,36,11.272
120,100,20,8468085,"Radim Vrbata",R,33,11.262
90,101,-11,8459596,"Andrew Brunette",L,37,11.25
140,102,38,8471390,"Mike Santorelli",C,31,11.199
55,103,-48,8470794,"Joe Pavelski",C,44,11.195
80,104,-24,8466148,"Marian Hossa",R,39,11.177
176,105,71,8470618,"Anthony Stewart",R,27,11.158
99,106,-7,8468504,"Brad Boyes",R,36,11.092
112,107,5,8473962,"Teddy Purcell",R,34,10.955
113,108,5,8471218,"Blake Wheeler",R,34,10.954
70,109,-39,8471504,"Rene Bourque",R,40,10.953
105,110,-5,8473544,"Derick Brassard",C,35,10.948
91,111,-20,8474613,"Derek Stepan",C,37,10.919
121,112,9,8473419,"Brad Marchand",L,33,10.895
126,113,13,8460496,"Ryan Smyth",L,32,10.872
156,114,42,8469485,"Derek Roy",C,29,10.851
157,115,42,8470828,"Toby Enstrom",D,29,10.725
84,116,-32,8471887,"Patric Hornqvist",R,38,10.648
127,117,10,8474040,"Sam Gagner",C,32,10.595
114,118,-4,8471208,"Dustin Penner",R,34,10.581
92,119,-27,8468483,"Marian Gaborik",R,37,10.478
106,120,-14,8468518,"Tomas Kopecky",R,35,10.457
207,121,86,8470039,"Tomas Fleischmann",L,24,10.371
50,122,-72,8473473,"Milan Lucic",L,45,10.313
128,123,5,8470642,"Shea Weber",D,32,10.306
141,124,17,8474569,"Colin Wilson",C,31,10.291
129,125,4,8474037,"James van Riemsdyk",L,32,10.277
130,126,4,8467370,"Mike Fisher",C,32,10.212
131,127,4,8470358,"Alexandre Burrows",R,32,10.212
100,128,-28,8471185,"Curtis Glencross",L,36,10.093
150,129,21,8469555,"Christian Ehrhoff",D,30,10.092
107,130,-23,8468434,"Andy McDonald",L,35,10.039
239,131,108,8471742,"Cody Franson",D,21,10.007
142,132,10,8459442,"Saku Koivu",C,31,9.989
177,133,44,8470201,"Jiri Hudler",C,27,9.984
85,134,-49,8471707,"James Neal",L,38,9.968
101,135,-34,8471311,"Tyler Kennedy",R,36,9.907
240,136,104,8470281,"Duncan Keith",D,21,9.897
132,137,-5,8470144,"Frans Nielsen",C,32,9.883
151,138,13,8475791,"Taylor Hall",L,30,9.856
182,139,43,8470599,"Milan Michalek",L,26,9.816
208,140,68,8471234,"Wojtek Wolski",L,24,9.809
108,141,-33,8468064,"Martin Erat",R,35,9.8
164,142,22,8470619,"Brian Boyle",C,28,9.717
143,143,0,8468535,"Antoine Vermette",C,31,9.713
109,144,-35,8468526,"Jarret Stoll",C,35,9.695
122,145,-23,8467545,"Michael Ryder",R,33,9.671
144,146,-2,8471514,"Rich Peverley",C,31,9.626
152,147,5,8474578,"Erik Karlsson",D,30,9.589
115,148,-33,8470877,"David Jones",R,34,9.558
165,149,16,8470222,"James Wisniewski",D,28,9.553
133,150,-17,8471735,"Keith Yandle",D,32,9.503
194,151,43,8473422,"Nick Foligno",L,25,9.442
110,152,-42,8474586,"Jordan Eberle",R,35,9.417
123,153,-30,8469457,"Stephen Weiss",C,33,9.393
153,154,-1,8473504,"Cal Clutterbuck",R,30,9.387
195,155,40,8471215,"Evgeni Malkin",C,25,9.348
216,156,60,8470207,"Joffrey Lupul",L,23,9.33
217,157,60,8467917,"Jordan Leopold",D,23,9.263
158,158,0,8464989,"Matt Cullen",C,29,9.26
116,159,-43,8468598,"Lubomir Visnovsky",D,34,9.228
71,160,-89,8460542,"Patrik Elias",C,40,9.121
166,161,5,8468505,"Steve Ott",C,28,9.104
218,162,56,8475149,"Marcus Johansson",C,23,9.088
145,163,-18,8467353,"Nik Antropov",C,31,9.061
146,164,-18,8470803,"Kyle Brodziak",C,31,9.051
228,165,63,8475158,"Ryan O'Reilly",C,22,9.047
63,166,-103,8467329,"Vincent Lecavalier",C,42,9.002
147,167,-20,8473573,"Artem Anisimov",C,31,8.978
241,168,73,8473533,"Jordan Staal",C,21,8.945
134,169,-35,8474161,"Jakub Voracek",R,32,8.886
154,170,-16,8471426,"Troy Brouwer",R,30,8.805
183,171,12,8465009,"Zdeno Chara",D,26,8.792
296,172,124,8470602,"Dion Phaneuf",D,17,8.733
242,173,69,8471691,"Martin Hanzal",C,21,8.708
155,174,-19,8459444,"Todd Bertuzzi",R,30,8.673
196,175,21,8465200,"Tomas Kaberle",D,25,8.658
197,176,21,8471678,"Benoit Pouliot",L,25,8.604
159,177,-18,8450725,"Mark Recchi",R,29,8.595
229,178,51,8462129,"Michal Handzus",C,22,8.545
184,179,5,8467881,"Taylor Pyatt",L,26,8.495
160,180,-20,8466215,"Joe Corvo",D,29,8.481
135,181,-46,8471859,"Sergei Kostitsyn",L,32,8.459
167,182,-15,8470047,"Valtteri Filppula",C,28,8.369
178,183,-5,8465050,"Eric Belanger",C,27,8.365
209,184,25,8474565,"Alex Pietrangelo",D,24,8.347
168,185,-17,8471682,"Devin Setoguchi",R,28,8.281
230,186,44,8459457,"Jamie Langenbrunner",R,22,8.239
169,187,-18,8467330,"David Legwand",C,28,8.157
