GameId,TotalElapsedTime,GD,MD,win_before,loss_before,tie-win_before,tie-loss_before,win_after,loss_after,tie-win_after,tie-loss_after,reward
2012020041,2154,1,1,18,7,8,7,110,4,8,8,0.4019230769230769
2012020041,2499,2,-1,0,15,0,1,37,148,37,42,0.6571969696969696
2012020042,1427,0,-2,2,0,1,0,14,4,1,4,-0.5217391304347826
2012020042,1484,-1,-1,30,3,3,3,85,11,1,5,-0.03393665158371039
2012020042,1719,-2,0,95,6,8,8,44,2,1,0,0.08583378796144767
2012020042,2301,-3,0,62,0,1,0,29,0,1,0,0
2012020042,3457,-4,0,0,48,0,0,0,97,0,0,0
2012020043,1262,0,0,175,175,67,67,171,49,42,36,0.411905818403683
2012020043,1446,1,-1,20,9,3,3,10,0,3,0,0.6
2012020043,1730,2,0,3,94,7,9,49,158,32,48,0.47507014893157784
2012020043,1839,1,0,46,147,33,47,125,125,59,59,0.40941033604077076
2012020043,2036,0,0,96,96,62,62,145,19,44,29,0.5210970464135022
2012020043,2045,1,0,142,37,42,29,116,8,9,7,0.24771428571428583
2012020043,2766,2,0,1,129,5,4,20,163,19,33,0.3572325118628501
2012020043,2966,1,0,165,15,33,16,136,1,3,3,0.16590832748037976
2012020043,3512,2,0,125,0,0,1,98,0,0,0,0.00793650793650788
2012020044,504,0,1,25,39,5,13,149,52,14,28,0.5665462210177659
2012020044,685,1,-1,12,23,5,4,229,229,90,90,0.2774294670846395
2012020044,1708,0,0,129,129,54,54,154,50,47,29,0.39174473067915694
2012020044,3524,-1,0,214,1,8,13,122,0,0,0,0.06355932203389822
2012020045,779,0,1,30,14,7,7,159,57,24,30,0.07011494252873558
2012020045,1766,1,0,148,44,45,27,99,7,5,10,0.23725895316804407
2012020045,2944,2,0,127,2,3,1,80,0,1,1,0.02539886301118659
2012020046,1199,0,-1,19,25,7,7,34,7,5,3,0.635819845179451
2012020046,1841,1,0,145,46,47,33,107,3,10,10,0.3381776894692025
2012020046,2157,2,-1,3,25,1,2,42,136,35,39,0.4432923707117256
2012020046,3247,1,-1,1,24,2,4,34,34,114,114,1.0625544899738448
2012020046,3701,0,-1,0,0,12,7,0,0,0,0,0.5
2012020047,51,0,0,562,562,172,172,25,6,3,3,0.47742838206053473
2012020047,745,1,0,150,52,26,31,46,7,7,5,0.22892782892782898
2012020047,2678,2,0,140,0,7,8,73,0,3,0,0.05161290322580649
2012020047,3522,3,0,91,0,0,0,42,0,0,0,0
2012020048,2006,0,0,96,96,63,63,150,40,47,14,0.4273848004209576
