Rank_trad,Rank_w,Rank_diff,PlayerId,PlayerName,Position,PlusMinus,PlusMinus_w
13,35,-22,8469544,"Patrick Sharp",L,23,6.405
14,36,-22,8466139,"Patrick Marleau",L,23,6.396
43,37,6,8467452,"Rob Scuderi",D,15,6.389
112,38,74,8469485,"Derek Roy",C,7,6.292
173,39,134,8470612,"Ryan Getzlaf",C,4,6.192
87,41,46,8471276,"David Krejci",C,9,6.082
585,40,545,8473526,"Peter Mueller",C,-4,6.082
88,42,46,8470598,"Thomas Vanek",L,9,6.08
63,43,20,8468526,"Jarret Stoll",C,12,6.041
44,44,0,8470839,"Shane O'Brien",D,15,6.009
337,45,292,8471698,"T.J. Oshie",R,0,5.916
70,46,24,8470724,"Kyle Quincey",D,11,5.82
82,47,35,8471386,"Scott Parse",L,10,5.681
244,48,196,8471669,"Paul Stastny",C,2,5.624
50,49,1,8467514,"Pavel Datsyuk",C,14,5.62
83,50,33,8471299,"Peter Regin",C,10,5.585
338,51,287,8470621,"Corey Perry",R,0,5.536
281,52,229,8475168,"Matt Duchene",C,1,5.384
45,53,-8,8468482,"Dany Heatley",L,15,5.375
100,54,46,8471676,"Bobby Ryan",R,8,5.364
586,55,531,8471670,"Guillaume Latendresse",L,-4,5.353
530,56,474,8470828,"Toby Enstrom",D,-3,5.319
23,57,-34,8470640,"Matthew Carle",D,20,5.292
174,58,116,8460743,"Tomas Holmstrom",L,4,5.281
57,59,-2,8469506,"Jason Pominville",R,13,5.261
150,60,90,8471222,"Ladislav Smid",D,5,5.259
35,61,-26,8467334,"Manny Malhotra",C,18,5.21
30,62,-32,8466138,"Joe Thornton",C,19,5.07
245,63,182,8475169,"Evander Kane",L,2,5.059
71,64,7,8471311,"Tyler Kennedy",R,11,5.026
89,65,24,8467878,"Tim Connolly",C,9,5.007
15,66,-51,8470610,"Zach Parise",L,23,4.95
84,67,17,8470273,"Ian White",D,10,4.947
46,68,-22,8466285,"Brian Campbell",D,15,4.847
17,69,-52,8471709,"Marc-Edouard Vlasic",D,22,4.782
175,70,105,8473485,"Chris Stewart",R,4,4.738
90,71,19,8471678,"Benoit Pouliot",L,9,4.735
619,72,547,8471707,"James Neal",L,-5,4.726
113,73,40,8471504,"Rene Bourque",R,7,4.714
128,74,54,8460496,"Ryan Smyth",L,6,4.64
64,75,-11,8471185,"Curtis Glencross",L,12,4.627
40,76,-36,8465951,"Matt Cooke",L,17,4.6
18,77,-59,8459461,"Brendan Morrison",C,22,4.583
176,78,98,8462036,"Daymond Langkow",C,4,4.543
65,79,-14,8473700,"Ryan Wilson",D,12,4.407
246,80,166,8465210,"Pavel Kubina",D,2,4.378
114,81,33,8471274,"Alex Goligoski",D,7,4.374
620,82,538,8470626,"Loui Eriksson",R,-5,4.358
460,83,377,8470041,"Rick Nash",L,-2,4.313
531,84,447,8466181,"Kristian Huselius",L,-3,4.293
532,85,447,8474564,"Steven Stamkos",C,-3,4.253
115,86,29,8469470,"Carlo Colaiacovo",D,7,4.233
91,87,4,8469992,"Sheldon Brookbank",D,9,4.117
92,88,4,8470280,"Ben Eager",L,9,3.987
72,89,-17,8465042,"Toni Lydman",D,11,3.916
533,90,443,8469459,"Mikko Koivu",C,-3,3.903
534,91,443,8470310,"Aaron Rome",D,-3,3.886
51,92,-41,8445550,"Rob Blake",D,14,3.848
151,93,58,8450725,"Mark Recchi",R,5,3.845
101,94,7,8464957,"J-P Dumont",R,8,3.827
66,95,-29,8467496,"Andrei Markov",D,12,3.784
73,96,-23,8462077,"Jochen Hecht",C,11,3.778
52,97,-45,8465202,"Sami Salo",D,14,3.762
207,98,109,8457981,"Teemu Selanne",R,3,3.74
177,99,78,8465058,"Michal Rozsival",D,4,3.691
129,100,29,8460577,"Milan Hejduk",R,6,3.687
130,101,29,8469474,"Colby Armstrong",R,6,3.668
116,102,14,8474125,"Carl Gunnarsson",D,7,3.651
74,103,-29,8471273,"Brandon Dubinsky",C,11,3.65
117,104,13,8471685,"Anze Kopitar",C,7,3.648
247,105,142,8468695,"Matthew Lombardi",C,2,3.6
85,106,-21,8467463,"Mikael Samuelsson",R,10,3.582
208,107,101,8470687,"Zack Stortini",R,3,3.577
178,108,70,8471729,"Kris Russell",D,4,3.562
152,109,43,8468114,"Douglas Murray",D,5,3.524
102,110,-8,8467096,"Dan Boyle",D,8,3.504
535,111,424,8475105,"Dan Sexton",R,-3,3.452
779,112,667,8465200,"Tomas Kaberle",D,-12,3.447
209,113,96,8459648,"Pavol Demitra",R,3,3.437
67,114,-47,8466182,"Henrik Tallinder",D,12,3.396
587,115,472,8470162,"Matt Stajan",C,-4,3.357
131,116,15,8467545,"Michael Ryder",R,6,3.352
210,117,93,8468535,"Antoine Vermette",C,3,3.345
153,118,35,8470854,"Tanner Glass",L,5,3.343
103,119,-16,8473933,"Ben Lovejoy",D,8,3.331
